"plot_id","inv_date","pBA_ABCO","pBA_CADE","pBA_OTHER","pBA_PILA","pBA_PIPO","pBA_PSME","pBA_(all)","azimuth","count_1h","count_10h","count_100h","duff_depth","litter_depth","sum_d2_r","sum_d2_s","litter_coeff","duff_coeff","x1h_coeff","x10h_coeff","x100h_coeff","x1000s_coeff","x1000r_coeff","x1h_L","x10h_L","x100h_L","x1000h_L","slp_c","fuelload_litter_tonha","fuelload_duff_tonha","fuelload_1h_tonha","fuelload_10h_tonha","fuelload_100h_tonha","fuelload_1000s_tonha","fuelload_1000r_tonha","fuelload_1000h_tonha","fuelload_surface_tonha","fuelload_total_tonha"
"0060-00021",2001-06-01,0.203011193892606,0.275990959879356,0.263524012309604,0,0.213505825810117,0.043968008108318,1,350,30,5,1,4,2,529,0,0.757901401790859,1.58895184214936,0.0723437762574871,0.759407952010652,9.08296277115831,0.413945628905554,0.369991378209713,1.83,1.83,3.05,11.34,1,15.1580280358172,63.5580736859743,1.46347901478261,2.56040823164247,3.67487739659323,0,21.2985177968259,21.2985177968259,44.1553104756614,107.713384161636
"0060-00021",2003-06-01,0.207830503356493,0.273149367243923,0.26008352292578,0,0.212884664185333,0.0460519422884708,1,143,11,1,0,1,0.25,0,0,0.759715985402012,1.58736487041517,0.0721446940247387,0.759642479718519,9.06577431361457,0.413119756852916,0.369950350269639,1.83,1.83,3.05,11.34,1,1.89928996350503,15.8736487041517,0.535132282345248,0.512239792334783,0,0,0,0,2.94666203818506,18.8203107423368
"0060-00021",2003-06-01,0.207830503356493,0.273149367243923,0.26008352292578,0,0.212884664185333,0.0460519422884708,1,350,19,2,2,1,0,0,0,0.759715985402012,1.58736487041517,0.0721446940247387,0.759642479718519,9.06577431361457,0.413119756852916,0.369950350269639,1.83,1.83,3.05,11.34,1,0,15.8736487041517,0.924319396778155,1.02447958466957,7.33584623147566,0,0,0,9.28464521292338,25.1582939170751
"0060-00021",2009-06-01,0.1062044218316,0.3190899504012,0.283338988802172,0,0.24737955375303,0.0439870852119988,1,350,18,17,1,0.5,1.5,0,400,0.727807071029302,1.59638230942255,0.0765214545561116,0.763369975362362,9.39865497019148,0.424743113678742,0.370838699987199,2,2,3,11.3,1,10.9171060654395,7.98191154711276,0.849847274300175,8.00698767157582,3.86598007773876,18.5533806116661,0,18.5533806116661,42.1933017007204,50.1752132478332
"0060-00021",2009-06-01,0.1062044218316,0.3190899504012,0.283338988802172,0,0.24737955375303,0.0439870852119988,1,143,11,12,2,0,2.5,2452,785,0.727807071029302,1.59638230942255,0.0765214545561116,0.763369975362362,9.39865497019148,0.424743113678742,0.370838699987199,2,2,3,11.3,1,18.1951767757326,0,0.519351112072329,5.65199129758293,7.73196015547752,36.4110094503948,99.298395715298,135.709405165693,167.807884506558,167.807884506558
"0060-00027",2001-06-01,0.117364254475747,0.882635745524253,0,0,0,0,1,34,34,12,3,1.5,0.5,81,0,1.24947567848848,1.65657381204731,0.052878463131496,0.683301980822872,11.1987313514933,0.42105946756329,0.379487443419437,1.83,1.83,3.05,11.34,1,6.24737839244241,24.8486071807096,1.21233267712844,5.52914520875688,13.5926896600748,0,3.34491075128275,3.34491075128275,29.9264566896852,54.7750638703948
"0060-00027",2001-06-01,0.117364254475747,0.882635745524253,0,0,0,0,1,175,42,27,3,2.5,2.5,0,289,1.24947567848848,1.65657381204731,0.052878463131496,0.683301980822872,11.1987313514933,0.42105946756329,0.379487443419437,1.83,1.83,3.05,11.34,1,31.236891962212,41.4143453011827,1.49758742468807,12.440576719703,13.5926896600748,13.2416890369688,0,13.2416890369688,72.0094348036466,113.423780104829
"0060-00027",2003-06-01,0,1,0,0,0,0,1,175,1,0,1,0,0,0,0,1.276,1.675,0.054162,0.677484,11.777535,0.4346,0.3816,1.83,1.83,3.05,11.34,1,0,0,0.0365223540983607,0,4.76507481639344,0,0,0,4.8015971704918,4.8015971704918
"0060-00027",2003-06-01,0,1,0,0,0,0,1,34,11,17,2,0,1,0,625,1.276,1.675,0.054162,0.677484,11.777535,0.4346,0.3816,1.83,1.83,3.05,11.34,1,12.76,0,0.401745895081967,7.76626194098361,9.53014963278689,29.5577821869489,0,29.5577821869489,60.0159396558013,60.0159396558013
"0060-00027",2009-06-01,0,1,0,0,0,0,1,34,13,9,0,0.5,0.5,0,0,1.276,1.675,0.054162,0.677484,11.777535,0.4346,0.3816,2,2,3,11.3,1,6.38,8.375,0.434433402,3.762068652,0,0,0,0,10.576502054,18.951502054
